uuid	name	profile	shapeSet
0bc74539-df8a-47c7-aad8-d55d809a01e4	obj_crates_banana	Large Parts	packingcrates.shapeset
0bdbde72-41a4-4295-b31d-5de814b9ed62	obj_moltenorb_t4	Large Parts	moltenorb.shapeset
0c077288-d15d-45d6-8439-3dabe7144034	obj_office_waterdispenser	Medium Parts	building.shapeset
0c07dba0-be79-40fd-9ed8-5a1c34e2d196	obj_manmade_scraproof03	Large Parts	manmade.shapeset
0c08480b-9ae3-41ec-9ae9-820fcd90f572	obj_survivalobject_caster_output	Medium Parts	survivalobject.shapeset
0c9cc5bb-af2f-4023-b8d8-cd7d52a60efe	obj_interactive_electricengine_02	Medium Parts	interactive_upgradeable.shapeset
0cd81a8e-a4b3-4743-b507-600fe35c93ee	obj_structure_concretebarrier	Medium Parts	structure.shapeset
0db3e749-adf2-4ba5-bb37-1cebcfb59cb2	obj_shoprewards_scrapmechanicbobbleheadfemale	Quest / Special Items	shoprewards.shapeset
0dba257b-b907-4919-baaf-2fefe19f4e24	obj_small_2way_pipe	Small Parts	fittings.shapeset
0dff60c2-f7ae-4c13-b9c4-962ec1039be8	obj_building_mopbucket	Large Parts	building.shapeset
0e68d9ec-9bed-4d09-8bba-973e3af25f22	Quest_ShipConnector02	Large Parts	survivalobject.shapeset
0e695319-afd0-405b-85c8-289df8614c52	obj_construction_carpetroll	Large Parts	construction.shapeset
0e6e6903-c284-40ee-9d39-b55312094dac	obj_rewards_window	Quest / Special Items	rewards.shapeset
0ebf382a-e2e4-4c46-a48e-87808308c1e3	obj_building_sink	Medium Parts	building.shapeset
0ee1efd7-0495-45da-b086-a831c58cdbda	obj_survivalobject_ladder	Large Parts	survivalobject.shapeset
0ee4fc0a-9f69-4d67-b5c2-09ea5a22712f	obj_industrial_encryptstandpipe	Small Parts	industrial.shapeset
0f638bd7-0c0d-4ba3-9ba2-af0b523ddff4	obj_construction_rebarbig	Medium Parts	construction.shapeset
0f6cb8bb-b905-4636-8acf-614515adcae5	obj_dekotora_starsun	Large Parts	dekotora.shapeset
0f6d1667-ddf8-4ca9-b290-8bd3ec9b038b	obj_resource_residueore	Resources	resource.shapeset
0ff9cf8f-b9b9-44cd-9de2-77508fda3318	obj_interactive_growbed_pineapple_mature	Medium Parts	interactive.shapeset
10079046-6400-42fd-bcd6-f66af6cfd8b8	obj_spaceship_interiorboxmedium	Small Parts	spaceship_survivalobject.shapeset
10149368-0d49-44c1-9521-dbec436eb770	obj_harvest_log_l02b	Resources	harvests_trees.shapeset
1016cafc-9f6b-40c9-8713-9019d399783f	blk_metal2	Blocks	blocks.shapeset
102565a0-c864-463e-b517-72e82242eec2	obj_containers_plantcontaineropen	Small Parts	containers.shapeset
103fc4e6-7e57-465e-a86d-983343415877	obj_tool_bucket_water	Small Parts	bucket.shapeset
10590ecd-7d2f-4ff9-a6de-e749870ae8b8	obj_containers_stack	Large Parts	containers.shapeset
109d044d-6002-4779-be04-34501d78408f	obj_destructable_tape_acrosstheroom02	Small Parts	destructable_tape.shapeset
109e1514-4f3b-4bd9-8d95-2d81fdb8fb25	obj_building_barracksupportturn	Medium Parts	building.shapeset
1147e59d-6940-42b4-840b-07f05054f5e0	obj_resource_crudeoil	Resources	resource_creative.shapeset
11805d14-8dc0-4372-b08d-e1c70392cba8	obj_harvests_nonepart_sapphire	Resources	harvests_nonepart.shapeset
11ee95f2-b486-4f2d-a59b-106b79908a22	obj_interactive_growbed_pineapple_sprout	Medium Parts	interactive.shapeset
120ee9c7-198b-4cb2-919d-51601ba2867e	obj_decor_windowcurtain	Large Parts	decor.shapeset
1215bcc1-b11f-4787-9bea-ff80641a6d19	obj_harvests_nonepart_tier5	Resources	harvests_nonepart.shapeset
1226cfd3-4fc8-4f9e-b21a-0c9576e2ef2f	obj_tool_handbook	Components	tool_parts.shapeset
125e3640-4b74-4b96-8015-32ca3d0c1a0c	obj_voxelmaterialchunk_t4_medium	Resources	voxelmaterialchunk.shapeset
126be16e-10c1-4ccd-82c5-368edc7f766a	obj_harvests_stones_p04	Resources	harvests_stones.shapeset
127b9b84-74b8-4e41-a53a-b7f163287479	obj_dekotora_railing01	Medium Parts	dekotora.shapeset
127f5ce0-09d1-4e3a-b1ac-a89f6340ddc8	obj_castedpart_t1	Large Parts	castedpart.shapeset
12862001-666c-4bdd-8326-a1f43610d28b	obj_interactive_controller_creative	Small Parts	interactive.shapeset
1299a5d1-b5d3-4a1d-895a-6baf877da780	obj_structure_cableroll02	Medium Parts	structure.shapeset
12cc6e9a-6d66-4a9a-bb59-b13a50373fd8	obj_characterobject_woc	Quest / Special Items	characterobject.shapeset
1311538d-9003-47dc-a16d-323794c049d1	char_npc_scoutfarmer_binoculars	Small Parts	char_npc_scoutfarmer_stuff.shapeset
1325d152-3dd1-41a1-9027-5823c5cb55c4	obj_fittings_ac	Medium Parts	fittings.shapeset
135967d2-7faa-495f-98f4-5130350396a4	obj_harvest_log_m01	Resources	harvests_trees.shapeset
1366666f-a1c8-4676-9b14-614a67796aa8	obj_rewards_carbumpersidepart01	Quest / Special Items	rewards.shapeset
13b7b0ba-5cbb-4501-9862-5879f20306fb	obj_interactive_growbed_orange_sprout	Medium Parts	interactive.shapeset
13c59db3-c368-4b06-80be-c0b258df93e3	obj_artifact_fossil08	Quest / Special Items	artifact_creative.shapeset
13ce3374-841a-4ad2-a6c3-ad0dabc1963d	obj_light_rangelightlarge	Medium Parts	interactive_shared.shapeset
13cf98bf-d033-4be5-a0a0-560cb946a4ba	obj_harvests_trees_birch02_p01	Resources	harvests_trees.shapeset
13ffabca-91ec-48ce-9dd6-4f6660714701	obj_plants_growbox	Large Parts	plants.shapeset
14e8f5d0-7d6a-41ab-96a1-fc34588de868	obj_decor_sign06	Medium Parts	decor.shapeset
1503a160-bf1f-4b86-8406-b11250c71a28	obj_destructable_tape_taperoll04	Small Parts	destructable_tape.shapeset
1506a3ab-b545-424a-92a0-7395be9e76f6	obj_dekotora_arrowlight_large	Large Parts	dekotora.shapeset
15a73381-549c-4c60-88e7-45b23b3165a3	obj_survivalobject_trashbot_elevatorfloor	Large Parts	survivalobject.shapeset
15a8f24b-016a-4db6-adcc-967ee1b6c7b1	obj_industrial_supportxframe	Large Parts	industrial.shapeset
15bc4cdd-1892-4c8e-810a-0f18063361eb	obj_artifact_fossil09	Quest / Special Items	artifact_creative.shapeset
15ee8b4c-d58b-462f-a0a0-5c9bcdff495f	obj_harvests_trees_pine03_p10	Resources	harvests_trees.shapeset
161786c1-1290-4817-8f8b-7f80de755a06	obj_interactive_robotbasshead	Small Parts	interactive.shapeset
16676910-7011-4514-891f-d1536b5cf56e	obj_interactive_growbed_redbeet_sprout	Medium Parts	interactive.shapeset
167ec3ff-5506-496a-be16-db2937a9061e	obj_harvests_nonepart_sapphire_p04	Resources	harvests_nonepart.shapeset
16ba2d22-7b96-4c5e-9eb7-f6422ed80ad4	obj_light_posterspotlight	Medium Parts	lights.shapeset
16ed53cc-a45b-4f64-92d4-2db93bf33e1c	obj_fittings_7x8_bend_glass	Large Parts	fittings.shapeset
17153a0e-8461-442f-b172-3a899c1ae99f	obj_fittings_pipebigbend	Medium Parts	fittings.shapeset
17371481-da9e-4bc1-bbbd-438109aad552	obj_shoprewards_totebotpercussion_bobblehead	Quest / Special Items	shoprewards.shapeset
176f4537-b245-4ba2-a318-da12e15bf789	obj_warehouse_beamframeturn	Small Parts	warehouse.shapeset
17844463-6664-4493-96c3-76f7f662d0bb	obj_interactive_sawtable4	Large Parts	craftbot_creative.shapeset
1786e265-cebe-4ef1-9d13-02c104c6207b	obj_interactive_turretseat_01_sphere	Large Parts	interactive_shared.shapeset
178fadc6-fff7-4bde-a052-c047e8a8fbcd	obj_questitem_pictureframe	Quest / Special Items	quest_items.shapeset
17c301ae-1d51-445c-9c72-6f40ec386dba	obj_rewards_anvil	Quest / Special Items	rewards.shapeset
18055540-6cb7-4c03-857d-1414d410f309	jnt_suspensionoffroad_bearing_05	Medium Parts	interactive_upgradeable.shapeset
18321228-7164-4dfd-928f-fa86bad31ba1	obj_shoprewards_computer	Quest / Special Items	shoprewards.shapeset
186b3d0d-4643-4e7a-b769-8ad3c5bc23f3	obj_harvest_lemonium	Resources	harvests.shapeset
1872d83a-d1a1-4cb7-ad46-9e4468d2548c	obj_interactive_controller_02	Small Parts	interactive_upgradeable.shapeset
1897ee42-0291-43e4-9645-8c5a5d310398	blk_wood2	Blocks	blocks.shapeset
189aabd7-a3a4-4ba1-886e-e2e21dd1772b	obj_destructable_tape_tape06	Small Parts	destructable_tape.shapeset
18a38c8e-18ec-46c5-be00-cee7724401e2	obj_containers_vegboxbanana	Medium Parts	containers.shapeset
18f9185d-a047-43aa-a3c6-a8f828e04d7a	obj_tool_launcher	Components	tool_parts.shapeset
1911c3bf-d3e4-48d2-9478-ea4d6f4291fb	bq_watchtower_02	Small Parts	builderguide.shapeset
19189881-0c42-408f-a2ac-aa0dadd2d50e	vaultfloor	Large Parts	survivalobject.shapeset
196586b5-897f-40f3-926c-b5dfa4f772eb	obj_spaceship_blinds	Large Parts	spaceship.shapeset
1986c34b-c318-4992-ab1d-34a1531a4095	obj_harvests_trees_pine02_p04	Resources	harvests_trees.shapeset
198c8b79-1f02-49fc-aacf-f8cacca7a3a7	obj_rewards_safe	Quest / Special Items	rewards.shapeset
1991e0c6-4dd8-4e44-9da8-7fdf4d938fdc	obj_office_deskextension	Large Parts	building.shapeset
1a82f776-5989-4471-b09d-0c3f65012fb3	obj_spaceship_exitsign	Medium Parts	spaceship.shapeset
1aac8942-38ac-4a83-bc16-6d33436c0934	obj_spaceship_interiorwedgelong	Wedges	spaceship_survivalobject.shapeset
1ae2cbd0-bc7d-45ed-bf19-57ef5dc14391	blk_undergroundstation	Blocks	blocks_survivalobject.shapeset
1b24e0a4-3f04-4dfe-83ea-612da2eff922	obj_harvests_trees_pine01_p07	Resources	harvests_trees.shapeset
1b3eb4f7-080a-4d98-adab-f29f0444b147	obj_dekotora_detailpiece03	Large Parts	dekotora.shapeset
1b47f36c-7c6e-451c-87b2-34fdf33d6989	obj_fittings_generatorpipesplit	Small Parts	fittings.shapeset
1b927252-ee6d-420e-8bb4-ae42fcb43ba8	obj_construction_brick	Small Parts	construction.shapeset
1babcbfe-4585-46a9-afdf-b71dd0ab5396	1babcbfe-4585-46a9-afdf-b71dd0ab5396	Blocks	blocks_blueprint.shapeset
1bace005-426c-4b44-8530-ef8698210a6f	obj_destructable_tape_rooftape04	Small Parts	destructable_tape.shapeset
1bdc2111-691c-465f-84d1-0e5faeca9897	obj_destructable_tape_tape02	Small Parts	destructable_tape.shapeset
1bfccc0a-828f-475c-882c-87d5a96054c9	obj_interactive_gasengine_01	Small Parts	interactive_upgradeable.shapeset
1c04327f-1de4-4b06-92a8-2c9b40e491aa	obj_interactive_robotbliphead01	Small Parts	interactive.shapeset
1c6756ca-3a60-4dcb-a5d1-353edf818308	obj_seed_broccoli	Plantables	plantables_creative.shapeset
1c75a433-97a2-4da3-a9c1-d47e5421fd2a	obj_voxelmaterialchunk_rich1_large	Resources	voxelmaterialchunk.shapeset
1c83675f-7c77-4cbb-875b-79d4bd46100d	obj_craftbot_craftbot3	Large Parts	craftbot_creative.shapeset
1cb6b667-18c2-478f-b519-0b992e61349f	obj_artifact_fossil05	Quest / Special Items	artifact_creative.shapeset
1d4793af-cb66-4628-804a-9d7404712643	obj_interactive_sensor_01	Small Parts	interactive_upgradeable.shapeset
1d667253-849c-4f9f-9109-1a2d91795247	obj_harvests_trees_birch01_p04	Resources	harvests_trees.shapeset
1d689938-56fa-445f-a71c-eed9af0292c4	obj_interactive_growbed_broccoli_sprout	Medium Parts	interactive.shapeset
1d8b89dc-f498-4914-8424-307dfcc667ff	obj_survivalobject_mininghub_dispenserbot	Large Parts	survivalobject.shapeset
1daa9b63-c1fe-4566-9a96-3232e9449471	1daa9b63-c1fe-4566-9a96-3232e9449471	Small Parts	debug.shapeset
1daf2b8a-fd2f-4266-9942-c04feede4f7b	obj_industrial_satellite01	Large Parts	industrial.shapeset
1db5d0d5-44c2-424e-b74c-234da226341f	obj_jewel_04	Quest / Special Items	jewel_creative.shapeset
1dc643c9-6f8e-478a-8ebb-4adf3cb9960f	obj_building_barracksupportholder	Medium Parts	building.shapeset
1dcd74ca-39ba-4b00-a36a-3381b25055f4	obj_crates_tomato	Large Parts	packingcrates.shapeset
1deb34b0-3d0c-4642-bec2-c7f64f8d28b7	obj_outfitpackage_heart	Quest / Special Items	outfitpackage.shapeset
1df6f1af-fd39-443a-9fd7-dd389e0ba5c8	obj_spaceship_interiorcables	Medium Parts	spaceship_survivalobject.shapeset
1e2485d7-f600-406e-b348-9f0b7c1f5077	obj_light_packingtablelamp	Medium Parts	lights.shapeset
1e8d93a4-506b-470d-9ada-9c0a321e2db5	obj_interactive_button	Small Parts	interactive.shapeset
1ebed5a8-a6df-45c9-a873-75286b61d2fe	obj_nugget_t1	Resources	resource.shapeset
1ed1d5a8-466a-4b5e-867b-0d93cd9d2dcb	obj_industrial_beamelevation	Small Parts	industrial.shapeset
1ef1f0e8-389c-4eb9-b4a8-784499353f14	obj_industrial_platformfencepole	Small Parts	industrial.shapeset
1f334b62-8955-4406-8848-91e03228c330	obj_decor_cone	Medium Parts	decor.shapeset
1f343b76-3622-4e4b-9de4-238d43d60734	obj_office_officechairbottom	Medium Parts	building.shapeset
1f5d8b77-183c-4f8b-83d7-a3940d090926	obj_spaceship_infoboard	Large Parts	spaceship_survivalobject.shapeset
1f7ac0bb-ad45-4246-9817-59bdf7f7ab39	blk_scrapmetal	Blocks	blocks.shapeset
1fc74a28-addb-451a-878d-c3c605d63811	blk_scrapwood	Blocks	blocks.shapeset
1fd89935-122e-4751-be0c-94f2e337b674	obj_interactive_sawtable2	Large Parts	craftbot_creative.shapeset
202b1841-fd43-4993-9720-e181df634077	obj_structure_metalcube	Large Parts	structure.shapeset
203fdf06-b311-49fd-933d-a1c6b671a017	obj_small_3wayb_pipe	Small Parts	fittings.shapeset
20821431-de44-4d54-8877-60833316104e	obj_fittings_ventbig05	Medium Parts	fittings.shapeset
208e8a82-9c0a-4fe4-87bc-0aec363172ea	obj_harvests_nonepart_sapphire_p05	Resources	harvests_nonepart.shapeset
20b3577f-a2f1-44f3-a22c-83f792732771	obj_destructable_taperolls_big	Medium Parts	decor.shapeset
20bd2885-d184-44ae-b72b-f90b786f8664	obj_manmade_holidayposter	Large Parts	manmade.shapeset
20d4a103-c842-40d7-9df8-0ba0f9000752	obj_rewards_ivypipe04	Quest / Special Items	rewards.shapeset
20dcd41c-0a11-4668-9b00-97f278ce21af	obj_interactive_sensor_05	Small Parts	interactive_upgradeable.shapeset
20e0b1f2-dd7b-4b69-9308-b6c26c0b0e6e	obj_destructable_tape_corridor01	Small Parts	destructable_tape.shapeset
20f59114-5964-451f-bb47-820da3ebbc3b	obj_interactive_saddle_creative	Medium Parts	interactive.shapeset
2133fdb7-5e3c-4fb9-99ad-5b4f8bf5c6e5	obj_harvests_trees_birch03_p03	Resources	harvests_trees.shapeset
220b201e-aa40-4995-96c8-e6007af160de	blk_metalbricks	Blocks	blocks.shapeset
221badef-0313-419c-9a7c-7469d26b0d5b	obj_decor_wcsignmale	Medium Parts	decor.shapeset
2228cef0-f22a-4901-93c5-48e4df52caf6	obj_industrial_railing	Large Parts	industrial.shapeset
2289e96f-f9c6-440c-b7c9-ce9474da8264	obj_manmade_salesign	Medium Parts	manmade.shapeset
22947bb1-7c64-477c-8656-d7857df39b78	obj_harvests_trees_birch01_p01	Resources	harvests_trees.shapeset
22bdc94b-e85b-4a2a-be2b-f1d782cfab53	obj_decor_herbspot	Medium Parts	decor.shapeset
22beade5-38ca-47b4-a2ee-32403f58a862	obj_seed_banana	Plantables	plantables_creative.shapeset
22c526fc-b212-4e4e-af00-1cc69d9129e1	obj_spaceship_frame03	Small Parts	spaceship_survivalobject.shapeset
22f3e797-82f5-4819-a085-c3cc28ec9025	obj_interactive_electricengine_05	Medium Parts	interactive_upgradeable.shapeset
2311afca-ca99-4b7b-a209-8382ed7ea356	obj_harvests_trees_pine01_p10	Resources	harvests_trees.shapeset
2350ac11-e6e3-46da-ac1e-62baf4d581b6	obj_nugget_t5	Resources	resource.shapeset
2354cd24-3dd3-4db5-84ab-df64c32d2c72	obj_interactive_controller_04	Small Parts	interactive_upgradeable.shapeset
23572f75-03c0-4c33-b643-70250d0e4ae0	obj_industrial_rooftankslicetop	Large Parts	industrial.shapeset
239c9c71-e5c7-4ccb-ad40-7bdbb32f3cc9	obj_office_mugholder	Medium Parts	building.shapeset
23ac6823-51a4-4581-b8ca-061c76f093f6	obj_decor_haybale	Large Parts	decor.shapeset
23bdcd57-88d1-4626-a57a-a9cca055e3d1	obj_dekotora_detailpiece02	Medium Parts	dekotora.shapeset
24001201-40dd-4950-b99f-17d878a9e07b	obj_interactive_propanetank_large	Medium Parts	interactive.shapeset
240d38b9-af66-42f4-8c2b-7bbf26fa5f66	obj_interactive_growbed_carrot_mature	Medium Parts	interactive.shapeset
2440d224-8791-4587-b464-e8ccad13d3d8	obj_harvests_crystal_large02_p04	Resources	harvests_crystal.shapeset
2448a709-a8ec-4d69-a927-b9ab195cd83f	obj_spaceship_wall06	Large Parts	spaceship_survivalobject.shapeset
256fde90-4225-4c22-b107-fcaabe2bec9c	obj_survivalobject_elevatorfan	Large Parts	survivalobject.shapeset
25a5ffe7-11b1-4d3e-8d7a-48129cbaf05e	blk_beam	Blocks	blocks.shapeset
260b4597-f1ac-409c-8e6b-90c998c5fe94	jnt_interactive_piston_creative	Small Parts	interactive.shapeset
26119eb4-0e0e-4730-85ad-8a8c44f3d18c	obj_construction_ramp02	Wedges	construction.shapeset
265bf568-a801-4ce6-8ac3-d20526443bc5	obj_destructable_tape_big_walltape04	Small Parts	destructable_tape.shapeset
26768efb-a090-44ce-9397-6a295b73eaf8	obj_moltenorb_t3	Large Parts	moltenorb.shapeset
267e0c93-62e3-45ad-9470-a14035cb9ca4	obj_resource_ember	Resources	resource_creative.shapeset
26a9d40f-49fd-403d-94a2-2d27b04a3156	obj_interactive_sawtable3	Large Parts	craftbot_creative.shapeset
26e7cb39-f380-4203-80c8-b1bf1b4f598d	obj_voxelmaterialchunk_t1_small	Resources	voxelmaterialchunk.shapeset
27583290-ebc2-452e-9f02-4894da09a9fc	bigbox01	Large Parts	survivalobject.shapeset
275e4258-ff57-45ae-8e2f-b82204c56d16	obj_spaceship_ceilingvent02	Large Parts	spaceship_survivalobject.shapeset
276fd55b-ae54-4a7a-ace6-fddd2d3370a5	obj_powertools_drill	Medium Parts	powertools.shapeset
27a221b1-9809-4df1-901a-caafe119c9b6	obj_outfitpackage_rare	Quest / Special Items	outfitpackage.shapeset
27c00cfb-4e7f-45fc-a037-f9a941464ce6	obj_manmade_freshsign	Large Parts	manmade.shapeset
2836d007-a7b7-4b2a-8e0e-e58ca8bb64dc	obj_voxelmaterialchunk_rich1_small	Resources	voxelmaterialchunk.shapeset
286faea5-83db-4f53-8813-1ce81309a059	obj_destructable_tape_cocoon02	Large Parts	destructable_tape.shapeset
2870f2dd-ea17-44dd-8c00-8f71e8d2764c	obj_structure_concretepillar	Large Parts	structure.shapeset
287f63c4-58dd-449d-9895-2bf9fdfef9a3	obj_interactive_growbed_cotton_sprout	Medium Parts	interactive.shapeset
2893e707-36b3-4ff1-bb3c-ef1b5524ae13	obj_warehouse_craneplatform	Large Parts	warehouse.shapeset
295451dd-f5b2-421d-9113-b3f704d799d4	obj_industrial_platformfenceconnector	Small Parts	industrial.shapeset
29c5c1eb-a3bd-45ae-b823-aeb28d70593a	obj_spaceship_frame05	Medium Parts	spaceship_survivalobject.shapeset
29ededf7-6436-41bf-84f4-8fb5361d29ea	obj_industrial_support_quater_frame	Medium Parts	industrial.shapeset
2a8028db-9931-4d48-a2f9-bb2c1188d517	obj_artifact_fossil11b	Quest / Special Items	artifact_creative.shapeset
2aa8cb2c-2311-440c-8162-829ee394fbc2	obj_manmade_scrapwall01	Large Parts	manmade.shapeset
2af00456-b22e-4743-b338-a91934aba7c5	obj_craftbot_cookbot	Large Parts	cookbot.shapeset
2b9c6e87-1b75-4a57-8979-74d9f95668ba	obj_interactive_seat_02	Medium Parts	interactive_upgradeable.shapeset
2ba72fca-443a-49e4-8eb2-073c4226866e	obj_fittings_cordstraightlong	Medium Parts	fittings.shapeset
2bacc33e-60fb-40c3-b751-ef76f79392c7	obj_decor_sign_elevator	Large Parts	decor.shapeset
2bbaf389-4ef7-4dca-b7ee-397cc30f3862	obj_warehouse_container5	Small Parts	warehouse.shapeset
2bc619a3-c884-4e60-9e78-6c04487a48c5	obj_spaceship_wall12_damaged	Large Parts	spaceship_survivalobject.shapeset
2bfa5011-a51d-4a5f-9aae-2476cd7f6033	obj_spaceshipsurvivalobject_blinds	Large Parts	spaceship_survivalobject.shapeset
2c4a2633-153a-4800-ba3d-2ac0d993b9c8	obj_consumable_milk	Consumables	consumable_creative.shapeset
2c6cc263-4515-45a3-9d7a-33dd4e09634f	obj_nugget_t3	Resources	resource.shapeset
2c90e412-9476-40d9-a440-228c888186bd	obj_spaceship_interiorlight	Small Parts	spaceship.shapeset
2c9d416b-3ffd-4aad-98b2-f246d833ef79	bq_catapult_01	Small Parts	builderguide.shapeset
2ccaa006-008e-4069-8de1-15668050f92e	obj_decor_sign01	Medium Parts	decor.shapeset
2d3016f7-febe-416e-93bc-41d80ca3910d	obj_interactive_saddle_01	Medium Parts	interactive_upgradeable.shapeset
2d503740-f2da-41a1-ae5c-3c49d44e3bb2	obj_destructable_tape_rooftape03	Small Parts	destructable_tape.shapeset
2d7f1278-ac93-4039-9eb2-d31715ea10ff	obj_tool_spudgun	Components	tool_parts.shapeset
2e689944-180d-4a1a-8e2d-35b162938792	obj_survivalobject_warehousearealight_warehouse	Large Parts	survivalobject_lights.shapeset
2e792123-4a10-4cc6-b9ef-c5a518655cb4	obj_tool_bucket_chemical	Small Parts	bucket.shapeset
2e977f44-35f1-4184-b780-3f8563e92330	obj_interactive_growbed_banana_sprout	Medium Parts	interactive.shapeset
